source,target,date,category,node,occupation
18,35,2008-12-01,I,18,celebrity
18,36,2013-02-06,I,18,celebrity
18,11609,2013-07-07,I,18,celebrity
18,11610,2014-07-06,I,18,celebrity
18,1326,2009-01-04,I,18,celebrity
19,5,2013-06-12,I,19,scientist
19,8,2010-11-05,I,19,scientist
19,12035,2009-10-11,I,19,scientist
19,5399,2011-06-02,I,19,scientist
19,11,2012-04-16,I,19,scientist
19,5380,2010-12-17,I,19,scientist
19,13,2012-12-13,I,19,scientist
19,15,2008-12-13,I,19,scientist
19,4390,2012-11-26,I,19,scientist
19,17,2007-11-11,I,19,scientist
19,5411,2013-08-06,I,19,scientist
19,20,2008-11-09,I,19,scientist
19,21,2007-07-23,I,19,scientist
19,24,2013-12-13,I,19,scientist
19,5426,2008-12-01,I,19,scientist
19,12036,2010-11-07,I,19,scientist
19,12037,2009-09-01,I,19,scientist
19,30,2012-06-06,I,19,scientist
19,12038,2012-11-26,I,19,scientist
19,5437,2013-03-23,I,19,scientist
19,5439,2013-08-22,I,19,scientist
19,31,2011-01-27,I,19,scientist
19,35,2014-03-03,I,19,scientist
19,36,2007-10-22,I,19,scientist
19,37,2008-04-20,I,19,scientist
19,5485,2007-09-09,I,19,scientist
19,48,2010-12-23,I,19,scientist
28,1,2014-03-28,P,28,celebrity
28,15425,2012-04-11,P,28,celebrity
28,5,2010-12-04,P,28,celebrity
28,7,2011-11-21,P,28,celebrity
28,8,2007-06-26,P,28,celebrity
28,8829,2014-08-24,P,28,celebrity
28,8830,2007-11-05,P,28,celebrity
28,11,2011-06-21,P,28,celebrity
28,14,2013-12-18,P,28,celebrity
28,15,2014-06-03,P,28,celebrity
28,15426,2010-09-12,P,28,celebrity
28,17,2012-10-11,P,28,celebrity
28,5411,2013-05-25,P,28,celebrity
28,20,2012-04-15,P,28,celebrity
28,21,2014-04-27,P,28,celebrity
28,15427,2009-02-26,P,28,celebrity
28,24,2013-01-27,P,28,celebrity
28,25,2014-05-09,P,28,celebrity
28,5424,2009-05-25,P,28,celebrity
28,5426,2008-01-04,P,28,celebrity
28,27,2007-08-09,P,28,celebrity
28,29,2012-04-03,P,28,celebrity
28,30,2007-12-02,P,28,celebrity
28,31,2008-06-01,P,28,celebrity
28,5444,2007-09-25,P,28,celebrity
28,35,2012-11-16,P,28,celebrity
28,36,2012-09-26,P,28,celebrity
28,37,2014-11-12,P,28,celebrity
28,5485,2013-04-04,P,28,celebrity
28,44,2007-11-18,P,28,celebrity
28,15428,2014-11-07,P,28,celebrity
28,15429,2009-01-04,P,28,celebrity
28,48,2008-05-25,P,28,celebrity
28,49,2011-12-19,P,28,celebrity
34,13348,2012-09-22,D,34,celebrity
34,17044,2012-10-06,D,34,celebrity
34,17045,2014-10-26,D,34,celebrity
34,17046,2012-03-08,D,34,celebrity
34,17047,2012-08-07,D,34,celebrity
34,17048,2011-07-23,D,34,celebrity
34,17049,2013-07-09,D,34,celebrity
34,17050,2007-10-03,D,34,celebrity
34,17051,2014-11-18,D,34,celebrity
34,17052,2014-12-27,D,34,celebrity
34,17053,2010-04-08,D,34,celebrity
34,17054,2011-04-01,D,34,celebrity
34,15192,2008-02-27,D,34,celebrity
34,17055,2010-01-04,D,34,celebrity
34,17056,2014-05-08,D,34,celebrity
34,17057,2011-01-17,D,34,celebrity
34,17058,2012-05-22,D,34,celebrity
34,17059,2011-03-05,D,34,celebrity
34,15195,2007-12-03,D,34,celebrity
34,17060,2010-08-26,D,34,celebrity
34,17061,2012-07-03,D,34,celebrity
34,17062,2011-12-16,D,34,celebrity
34,17063,2007-11-23,D,34,celebrity
34,17064,2007-05-17,D,34,celebrity
34,14232,2012-06-22,D,34,celebrity
34,17065,2012-02-04,D,34,celebrity
34,17066,2014-03-20,D,34,celebrity
34,17067,2009-03-17,D,34,celebrity
34,17068,2010-07-12,D,34,celebrity
34,17069,2008-01-07,D,34,celebrity
34,17070,2008-01-20,D,34,celebrity
34,17071,2010-07-17,D,34,celebrity
34,17072,2009-09-02,D,34,celebrity
34,17073,2011-08-25,D,34,celebrity
34,17074,2007-11-04,D,34,celebrity
34,17075,2012-09-04,D,34,celebrity
34,17076,2007-09-02,D,34,celebrity
34,17077,2009-11-21,D,34,celebrity
34,17078,2009-06-03,D,34,celebrity
34,17079,2012-07-09,D,34,celebrity
34,17080,2009-07-14,D,34,celebrity
34,17081,2010-12-12,D,34,celebrity
34,17082,2008-10-13,D,34,celebrity
34,17083,2013-07-21,D,34,celebrity
34,17084,2008-02-16,D,34,celebrity
34,17085,2014-03-19,D,34,celebrity
34,17086,2011-11-06,D,34,celebrity
34,13361,2010-12-12,D,34,celebrity
34,17087,2009-05-18,D,34,celebrity
34,17088,2010-01-16,D,34,celebrity
34,17089,2007-11-07,D,34,celebrity
34,17090,2009-06-24,D,34,celebrity
34,17091,2012-05-09,D,34,celebrity
34,17092,2007-04-22,D,34,celebrity
34,17093,2014-06-08,D,34,celebrity
34,17094,2013-11-18,D,34,celebrity
34,17095,2007-09-02,D,34,celebrity
34,17096,2014-01-03,D,34,celebrity
34,17097,2012-06-07,D,34,celebrity
34,17098,2010-11-24,D,34,celebrity
36,5,2013-04-07,D,36,scientist
36,4390,2011-10-14,D,36,scientist
36,18570,2008-08-19,D,36,scientist
36,1307,2007-12-12,D,36,scientist
36,18571,2012-10-17,D,36,scientist
36,24,2009-04-23,D,36,scientist
36,35,2008-12-01,D,36,scientist
36,4452,2008-02-25,D,36,scientist
36,12613,2008-05-27,D,36,scientist
36,37,2013-04-02,D,36,scientist
36,1325,2008-03-10,D,36,scientist
37,24,2008-06-27,I,37,scientist
37,4434,2009-11-24,I,37,scientist
37,35,2014-05-07,I,37,scientist
37,36,2014-05-13,I,37,scientist
39,1,2007-04-08,D,39,celebrity
39,24,2007-01-27,D,39,celebrity
39,33,2011-09-05,D,39,celebrity
39,19313,2013-05-17,D,39,celebrity
39,35,2007-06-17,D,39,celebrity
39,19314,2010-01-15,D,39,celebrity
39,36,2014-12-06,D,39,celebrity
39,38,2009-05-15,D,39,celebrity
39,19315,2012-01-25,D,39,celebrity
39,40,2011-06-03,D,39,celebrity
39,41,2009-10-05,D,39,celebrity
39,45,2011-04-01,D,39,celebrity
42,20369,2007-07-23,P,42,scientist
42,1,2013-03-09,P,42,scientist
42,20370,2014-12-19,P,42,scientist
42,20371,2013-08-05,P,42,scientist
42,20372,2014-12-18,P,42,scientist
42,20373,2013-08-21,P,42,scientist
42,20374,2008-07-09,P,42,scientist
42,17764,2007-11-20,P,42,scientist
42,20375,2014-03-25,P,42,scientist
42,20376,2014-10-03,P,42,scientist
42,20377,2011-07-15,P,42,scientist
42,20378,2009-07-13,P,42,scientist
42,20379,2013-08-13,P,42,scientist
42,20380,2011-03-02,P,42,scientist
42,13347,2012-08-28,P,42,scientist
42,20381,2012-03-06,P,42,scientist
42,16676,2012-03-06,P,42,scientist
42,19533,2011-07-07,P,42,scientist
42,20382,2008-06-19,P,42,scientist
42,20383,2014-08-01,P,42,scientist
42,20384,2012-06-23,P,42,scientist
42,20385,2013-01-22,P,42,scientist
42,20386,2014-10-13,P,42,scientist
42,20387,2011-06-25,P,42,scientist
42,20388,2011-10-25,P,42,scientist
42,20389,2009-09-09,P,42,scientist
42,20390,2012-03-12,P,42,scientist
42,20391,2011-11-07,P,42,scientist
42,20392,2014-03-01,P,42,scientist
42,20393,2013-08-20,P,42,scientist
42,20394,2013-09-11,P,42,scientist
42,20395,2010-09-20,P,42,scientist
42,20396,2013-03-17,P,42,scientist
42,20397,2013-09-25,P,42,scientist
42,20398,2009-10-01,P,42,scientist
42,20399,2010-03-02,P,42,scientist
42,20400,2012-05-09,P,42,scientist
42,20401,2012-05-25,P,42,scientist
42,20402,2008-08-07,P,42,scientist
42,20403,2008-08-14,P,42,scientist
42,20404,2009-01-07,P,42,scientist
42,20405,2014-05-19,P,42,scientist
42,20406,2012-04-11,P,42,scientist
42,20407,2014-07-07,P,42,scientist
42,20408,2008-04-27,P,42,scientist
42,20409,2010-11-02,P,42,scientist
42,20410,2008-09-04,P,42,scientist
42,20411,2011-11-17,P,42,scientist
42,20412,2009-05-17,P,42,scientist
42,20413,2013-09-14,P,42,scientist
42,20414,2007-03-10,P,42,scientist
42,20415,2014-04-24,P,42,scientist
42,20416,2013-01-27,P,42,scientist
42,20417,2012-04-16,P,42,scientist
42,20418,2014-07-18,P,42,scientist
42,20419,2009-06-21,P,42,scientist
43,20450,2009-11-23,I,43,celebrity
43,20451,2012-01-25,I,43,celebrity
43,20452,2007-10-19,I,43,celebrity
43,20453,2014-09-04,I,43,celebrity
43,7316,2011-06-16,I,43,celebrity
43,20454,2011-10-18,I,43,celebrity
43,6134,2012-06-18,I,43,celebrity
43,20455,2012-05-06,I,43,celebrity
43,20456,2012-02-01,I,43,celebrity
43,20457,2007-08-11,I,43,celebrity
43,19462,2010-10-09,I,43,celebrity
43,20458,2011-01-07,I,43,celebrity
43,20459,2008-07-02,I,43,celebrity
43,20460,2013-06-12,I,43,celebrity
43,20461,2008-06-26,I,43,celebrity
43,20462,2011-05-24,I,43,celebrity
43,20463,2007-05-17,I,43,celebrity
43,5401,2009-02-21,I,43,celebrity
43,20464,2008-07-27,I,43,celebrity
43,20465,2013-05-04,I,43,celebrity
43,20466,2012-12-28,I,43,celebrity
43,20467,2011-09-11,I,43,celebrity
43,24,2014-02-12,I,43,celebrity
43,20468,2010-02-12,I,43,celebrity
43,29,2014-06-04,I,43,celebrity
43,11273,2013-03-26,I,43,celebrity
43,11274,2010-04-22,I,43,celebrity
43,35,2009-06-10,I,43,celebrity
43,20469,2009-06-28,I,43,celebrity
43,20470,2010-06-01,I,43,celebrity
43,10981,2008-09-24,I,43,celebrity
43,36,2013-12-17,I,43,celebrity
43,37,2012-01-22,I,43,celebrity
43,5473,2012-09-04,I,43,celebrity
43,20471,2009-10-04,I,43,celebrity
43,20472,2007-09-18,I,43,celebrity
43,20473,2013-03-05,I,43,celebrity
43,20474,2010-05-06,I,43,celebrity
43,20475,2007-10-26,I,43,celebrity
43,20476,2008-11-26,I,43,celebrity
43,20477,2012-06-05,I,43,celebrity
43,20478,2012-05-26,I,43,celebrity
43,20479,2008-05-17,I,43,celebrity
43,5489,2012-05-17,I,43,celebrity
43,8873,2014-12-02,I,43,celebrity
43,20480,2008-03-15,I,43,celebrity
43,20481,2011-10-08,I,43,celebrity
43,20482,2012-10-05,I,43,celebrity
43,47,2014-12-21,I,43,celebrity
43,20483,2012-06-24,I,43,celebrity
43,48,2013-01-28,I,43,celebrity
43,5496,2007-06-27,I,43,celebrity
43,20484,2012-02-11,I,43,celebrity
45,1,2010-01-18,D,45,scientist
45,21423,2008-04-12,D,45,scientist
45,21424,2009-05-27,D,45,scientist
45,21425,2007-06-04,D,45,scientist
45,21426,2014-05-21,D,45,scientist
45,21427,2010-06-03,D,45,scientist
45,21428,2007-08-19,D,45,scientist
45,21429,2011-10-03,D,45,scientist
45,21430,2008-02-14,D,45,scientist
45,21431,2014-05-26,D,45,scientist
45,21432,2008-08-22,D,45,scientist
45,19313,2012-01-05,D,45,scientist
45,21433,2009-06-01,D,45,scientist
45,19314,2008-03-28,D,45,scientist
45,21434,2008-12-13,D,45,scientist
45,19315,2007-01-01,D,45,scientist
45,39,2011-01-12,D,45,scientist
45,21435,2007-05-12,D,45,scientist
45,41,2009-09-07,D,45,scientist
45,21436,2013-03-19,D,45,scientist
45,7860,2011-07-14,D,45,scientist
45,7861,2009-08-08,D,45,scientist
45,21437,2007-12-13,D,45,scientist
45,21438,2010-01-17,D,45,scientist
45,21439,2013-09-23,D,45,scientist
45,21440,2012-02-16,D,45,scientist
45,21441,2007-04-12,D,45,scientist
45,21442,2007-04-15,D,45,scientist
45,21443,2007-03-23,D,45,scientist
45,21444,2014-07-07,D,45,scientist
50,51,2014-02-21,I,50,celebrity
50,52,2012-06-27,I,50,celebrity
50,53,2012-07-06,I,50,celebrity
50,54,2012-03-15,I,50,celebrity
50,55,2014-10-05,I,50,celebrity
50,56,2013-12-18,I,50,celebrity
50,57,2011-09-17,I,50,celebrity
50,58,2012-01-27,I,50,celebrity
50,59,2010-12-28,I,50,celebrity
50,60,2008-07-19,I,50,celebrity
50,61,2013-04-10,I,50,celebrity
50,62,2008-01-13,I,50,celebrity
63,64,2014-01-07,D,63,politician
63,65,2009-11-15,D,63,politician
63,66,2013-06-28,D,63,politician
63,67,2014-12-06,D,63,politician
63,68,2014-01-28,D,63,politician
63,69,2010-10-27,D,63,politician
63,70,2008-11-10,D,63,politician
63,71,2014-08-15,D,63,politician
63,72,2012-10-28,D,63,politician
63,73,2007-02-08,D,63,politician
63,74,2011-02-25,D,63,politician
63,75,2009-07-24,D,63,politician
63,76,2013-12-28,D,63,politician
63,77,2009-02-28,D,63,politician
63,78,2010-12-25,D,63,politician
63,79,2009-10-08,D,63,politician
63,80,2011-12-05,D,63,politician
63,81,2010-01-04,D,63,politician
64,63,2013-04-24,I,64,scientist
64,69,2010-06-04,I,64,scientist
64,70,2009-08-09,I,64,scientist
64,82,2012-06-18,I,64,scientist
64,75,2011-12-27,I,64,scientist
64,83,2009-02-12,I,64,scientist
70,63,2008-12-10,D,70,scientist
70,64,2011-11-18,D,70,scientist
70,9080,2010-11-18,D,70,scientist
70,9081,2009-07-04,D,70,scientist
70,66,2011-03-08,D,70,scientist
70,9082,2014-07-01,D,70,scientist
70,9083,2011-08-06,D,70,scientist
70,9084,2013-12-19,D,70,scientist
70,9085,2010-11-07,D,70,scientist
70,9086,2007-05-22,D,70,scientist
70,9087,2007-05-16,D,70,scientist
70,9088,2008-07-09,D,70,scientist
70,9089,2012-05-07,D,70,scientist
70,9090,2009-08-06,D,70,scientist
70,9091,2013-06-16,D,70,scientist
70,9092,2007-09-06,D,70,scientist
70,9093,2008-02-11,D,70,scientist
70,9094,2012-12-23,D,70,scientist
70,6646,2010-03-23,D,70,scientist
70,6648,2011-12-18,D,70,scientist
70,9095,2013-04-19,D,70,scientist
70,9096,2009-09-10,D,70,scientist
70,9097,2013-07-12,D,70,scientist
70,9098,2013-07-08,D,70,scientist
70,9099,2012-11-10,D,70,scientist
70,75,2007-03-20,D,70,scientist
70,6658,2007-04-03,D,70,scientist
70,9100,2007-05-13,D,70,scientist
70,9101,2009-04-01,D,70,scientist
70,9102,2014-01-04,D,70,scientist
70,9103,2010-03-06,D,70,scientist
70,9104,2009-05-09,D,70,scientist
70,9105,2014-09-27,D,70,scientist
75,63,2012-06-02,P,75,scientist
75,64,2007-07-19,P,75,scientist
75,65,2009-02-13,P,75,scientist
75,66,2013-02-14,P,75,scientist
75,6627,2008-10-14,P,75,scientist
75,2124,2014-10-23,P,75,scientist
75,67,2009-11-13,P,75,scientist
75,6629,2008-07-10,P,75,scientist
75,6631,2014-03-26,P,75,scientist
75,6632,2013-09-03,P,75,scientist
75,879,2008-01-27,P,75,scientist
75,6634,2010-08-23,P,75,scientist
75,6624,2007-01-08,P,75,scientist
75,69,2012-05-14,P,75,scientist
75,6637,2009-03-19,P,75,scientist
75,6638,2014-01-25,P,75,scientist
75,6639,2011-12-24,P,75,scientist
75,70,2012-07-07,P,75,scientist
75,6641,2013-05-16,P,75,scientist
75,6643,2012-03-12,P,75,scientist
75,6644,2013-05-06,P,75,scientist
75,71,2007-10-02,P,75,scientist
75,6646,2009-10-15,P,75,scientist
75,6648,2014-06-11,P,75,scientist
75,72,2012-10-13,P,75,scientist
75,73,2014-09-05,P,75,scientist
75,6652,2010-10-19,P,75,scientist
75,6655,2010-09-10,P,75,scientist
75,82,2014-06-15,P,75,scientist
75,74,2011-04-01,P,75,scientist
75,10969,2011-12-09,P,75,scientist
75,6656,2011-06-15,P,75,scientist
75,6657,2009-01-26,P,75,scientist
75,6658,2011-03-13,P,75,scientist
75,76,2013-08-14,P,75,scientist
75,83,2011-09-13,P,75,scientist
75,6666,2012-01-09,P,75,scientist
75,6677,2009-10-20,P,75,scientist
75,78,2007-10-24,P,75,scientist
76,63,2012-02-14,I,76,celebrity
76,64,2013-07-03,I,76,celebrity
76,6631,2011-08-10,I,76,celebrity
76,70,2009-06-06,I,76,celebrity
76,6643,2009-08-14,I,76,celebrity
76,6644,2014-02-24,I,76,celebrity
76,75,2014-05-28,I,76,celebrity
76,6666,2007-10-17,I,76,celebrity
84,85,2009-11-26,D,84,celebrity
84,86,2010-06-10,D,84,celebrity
84,87,2009-03-11,D,84,celebrity
84,88,2008-02-16,D,84,celebrity
84,89,2013-01-09,D,84,celebrity
84,90,2007-03-26,D,84,celebrity
84,91,2007-10-19,D,84,celebrity
84,92,2009-06-19,D,84,celebrity
84,93,2011-03-06,D,84,celebrity
94,95,2011-02-19,D,94,scientist
94,96,2013-12-25,D,94,scientist
94,97,2009-11-12,D,94,scientist
94,98,2010-07-08,D,94,scientist
94,99,2012-05-03,D,94,scientist
94,100,2013-06-02,D,94,scientist
94,101,2010-10-06,D,94,scientist
94,102,2008-01-10,D,94,scientist
94,103,2013-04-21,D,94,scientist
94,104,2010-12-28,D,94,scientist
94,105,2009-03-10,D,94,scientist
94,106,2012-07-13,D,94,scientist
94,107,2008-01-28,D,94,scientist
94,108,2013-09-10,D,94,scientist
94,109,2008-06-14,D,94,scientist
94,110,2010-07-15,D,94,scientist
94,111,2007-03-15,D,94,scientist
94,112,2010-12-22,D,94,scientist
94,113,2014-07-09,D,94,scientist
94,114,2014-11-17,D,94,scientist
94,115,2014-01-03,D,94,scientist
94,116,2007-04-01,D,94,scientist
94,117,2007-11-22,D,94,scientist
94,118,2008-10-16,D,94,scientist
94,119,2007-08-19,D,94,scientist
94,120,2009-10-25,D,94,scientist
94,121,2012-04-09,D,94,scientist
94,122,2007-05-26,D,94,scientist
94,123,2009-05-24,D,94,scientist
94,124,2009-08-26,D,94,scientist
94,125,2008-09-01,D,94,scientist
94,126,2014-12-16,D,94,scientist
94,127,2009-02-07,D,94,scientist
94,128,2014-05-05,D,94,scientist
94,129,2008-12-19,D,94,scientist
94,130,2007-12-03,D,94,scientist
94,131,2010-06-05,D,94,scientist
94,132,2007-05-25,D,94,scientist
94,133,2010-05-19,D,94,scientist
134,135,2010-08-10,P,134,politician
134,136,2010-12-05,P,134,politician
134,137,2007-12-25,P,134,politician
134,138,2014-09-23,P,134,politician
134,139,2013-04-25,P,134,politician
134,140,2007-06-22,P,134,politician
134,141,2010-06-01,P,134,politician
134,142,2010-02-27,P,134,politician
134,143,2008-01-13,P,134,politician
134,144,2010-02-04,P,134,politician
134,145,2012-12-14,P,134,politician
134,146,2007-07-12,P,134,politician
134,147,2010-12-21,P,134,politician
134,148,2013-07-13,P,134,politician
149,150,2011-02-12,P,149,politician
149,151,2011-10-12,P,149,politician
149,152,2008-04-22,P,149,politician
149,153,2010-10-07,P,149,politician
149,154,2010-08-23,P,149,politician
149,155,2012-03-18,P,149,politician
149,156,2013-08-07,P,149,politician
149,157,2012-07-26,P,149,politician
149,158,2007-03-25,P,149,politician
149,159,2009-02-15,P,149,politician
149,160,2014-04-14,P,149,politician
149,161,2010-03-24,P,149,politician
149,162,2007-01-04,P,149,politician
149,163,2007-07-10,P,149,politician
149,164,2012-07-21,P,149,politician
149,165,2010-06-25,P,149,politician
151,149,2011-02-23,D,151,politician
151,1081,2013-04-15,D,151,politician
151,1086,2007-10-22,D,151,politician
151,4906,2009-06-15,D,151,politician
151,5068,2014-02-17,D,151,politician
151,1087,2008-12-26,D,151,politician
151,1088,2008-08-28,D,151,politician
151,5069,2012-09-06,D,151,politician
151,4911,2008-09-05,D,151,politician
151,153,2014-12-12,D,151,politician
151,1098,2014-09-16,D,151,politician
151,4914,2007-12-10,D,151,politician
151,5070,2012-09-26,D,151,politician
151,154,2010-10-04,D,151,politician
151,4915,2013-07-02,D,151,politician
151,155,2012-10-14,D,151,politician
151,156,2008-02-08,D,151,politician
151,157,2007-12-22,D,151,politician
151,5071,2011-02-21,D,151,politician
151,5072,2009-05-07,D,151,politician
151,1107,2012-09-03,D,151,politician
151,4926,2007-05-04,D,151,politician
151,5073,2008-02-19,D,151,politician
151,5074,2011-01-08,D,151,politician
151,5075,2014-12-14,D,151,politician
151,5076,2009-08-19,D,151,politician
153,149,2010-12-21,I,153,politician
153,156,2013-06-13,I,153,politician
153,158,2013-03-17,I,153,politician
153,161,2009-06-07,I,153,politician
153,8476,2009-10-20,I,153,politician
161,149,2007-04-06,D,161,politician
161,150,2011-02-02,D,161,politician
161,151,2007-04-25,D,161,politician
161,153,2009-05-22,D,161,politician
161,18158,2009-08-20,D,161,politician
161,154,2013-11-27,D,161,politician
161,156,2008-10-25,D,161,politician
161,157,2011-01-26,D,161,politician
161,158,2010-10-04,D,161,politician
161,1110,2008-04-16,D,161,politician
161,159,2008-08-23,D,161,politician
161,4919,2014-02-23,D,161,politician
161,16131,2007-05-20,D,161,politician
161,160,2011-07-20,D,161,politician
161,4923,2009-06-04,D,161,politician
161,18159,2014-09-22,D,161,politician
161,18160,2011-07-04,D,161,politician
161,18161,2012-02-24,D,161,politician
161,7850,2008-02-12,D,161,politician
161,163,2011-09-12,D,161,politician
161,18162,2013-06-06,D,161,politician
161,4938,2007-03-01,D,161,politician
161,164,2010-04-10,D,161,politician
161,165,2009-11-16,D,161,politician
166,167,2013-01-22,D,166,scientist
166,168,2008-10-21,D,166,scientist
166,169,2007-09-18,D,166,scientist
166,170,2012-06-15,D,166,scientist
166,171,2011-01-19,D,166,scientist
166,172,2013-10-02,D,166,scientist
166,173,2014-08-01,D,166,scientist
166,174,2007-04-11,D,166,scientist
166,175,2010-07-11,D,166,scientist
166,176,2012-07-16,D,166,scientist
166,177,2014-01-25,D,166,scientist
166,178,2011-12-04,D,166,scientist
166,179,2007-09-11,D,166,scientist
166,180,2012-09-22,D,166,scientist
166,181,2007-02-02,D,166,scientist
166,182,2007-06-27,D,166,scientist
166,183,2010-07-23,D,166,scientist
166,184,2008-02-28,D,166,scientist
166,185,2012-12-11,D,166,scientist
166,186,2013-03-04,D,166,scientist
166,187,2009-11-20,D,166,scientist
166,188,2007-01-11,D,166,scientist
166,189,2012-01-13,D,166,scientist
179,12656,2013-11-27,P,179,celebrity
179,12657,2009-12-09,P,179,celebrity
179,12658,2011-10-10,P,179,celebrity
179,12659,2007-10-28,P,179,celebrity
179,12660,2010-07-05,P,179,celebrity
179,1205,2013-01-26,P,179,celebrity
179,12661,2007-09-11,P,179,celebrity
179,12662,2014-10-10,P,179,celebrity
179,12663,2012-04-06,P,179,celebrity
179,12664,2014-11-07,P,179,celebrity
179,180,2013-10-06,P,179,celebrity
179,12665,2011-03-06,P,179,celebrity
179,12666,2010-02-06,P,179,celebrity
179,12667,2012-10-07,P,179,celebrity
179,12668,2012-08-14,P,179,celebrity
179,12669,2013-11-21,P,179,celebrity
179,12670,2009-05-13,P,179,celebrity
179,12671,2012-07-14,P,179,celebrity
179,12672,2012-01-11,P,179,celebrity
179,12673,2008-03-17,P,179,celebrity
179,186,2010-10-25,P,179,celebrity
179,12674,2008-10-01,P,179,celebrity
179,188,2007-08-21,P,179,celebrity
179,12675,2010-09-27,P,179,celebrity
180,245,2008-10-22,D,180,celebrity
180,12676,2007-10-12,D,180,celebrity
180,5788,2013-03-16,D,180,celebrity
180,12677,2010-05-26,D,180,celebrity
180,104,2014-10-03,D,180,celebrity
180,12678,2013-06-07,D,180,celebrity
180,1526,2011-10-14,D,180,celebrity
188,1049,2012-12-02,D,188,scientist
190,191,2010-06-21,I,190,politician
190,192,2014-12-25,I,190,politician
190,193,2014-09-18,I,190,politician
190,194,2010-01-03,I,190,politician
195,196,2014-08-11,I,195,scientist
195,197,2007-03-04,I,195,scientist
195,198,2010-03-10,I,195,scientist
195,199,2008-02-25,I,195,scientist
195,200,2013-05-14,I,195,scientist
195,201,2011-04-19,I,195,scientist
195,202,2011-11-06,I,195,scientist
195,203,2014-04-10,I,195,scientist
195,204,2013-06-21,I,195,scientist
195,205,2007-01-18,I,195,scientist
195,206,2014-06-28,I,195,scientist
195,207,2008-08-18,I,195,scientist
195,208,2014-10-18,I,195,scientist
195,209,2011-08-04,I,195,scientist
195,210,2010-07-14,I,195,scientist
195,211,2007-07-01,I,195,scientist
195,212,2010-03-24,I,195,scientist
195,213,2013-02-01,I,195,scientist
195,214,2014-03-03,I,195,scientist
195,215,2013-03-14,I,195,scientist
195,216,2009-12-12,I,195,scientist
195,217,2007-01-01,I,195,scientist
195,218,2007-09-08,I,195,scientist
219,220,2011-01-24,D,219,scientist
219,221,2009-08-15,D,219,scientist
219,222,2010-09-09,D,219,scientist
219,223,2013-02-15,D,219,scientist
219,224,2013-04-15,D,219,scientist
219,225,2014-07-20,D,219,scientist
219,226,2011-09-24,D,219,scientist
219,227,2008-04-27,D,219,scientist
219,228,2010-10-07,D,219,scientist
219,229,2009-10-01,D,219,scientist
219,230,2012-04-04,D,219,scientist
219,231,2014-11-17,D,219,scientist
232,63,2008-11-20,P,232,scientist
232,233,2012-02-11,P,232,scientist
232,234,2011-10-12,P,232,scientist
232,235,2012-12-19,P,232,scientist
232,236,2013-07-16,P,232,scientist
232,237,2012-09-05,P,232,scientist
232,238,2013-07-01,P,232,scientist
232,239,2011-08-05,P,232,scientist
232,240,2007-10-19,P,232,scientist
