source,target,bipartite,centrality,node
u1390,p1658,users,0.000595,u1390
u5777,p1183,users,0.000595,u5777
u1247,p15,users,0.000595,u1247
u46451,p291,users,0.000595,u46451
u15721,p645,users,0.000595,u15721
u47128,p357,users,0.000595,u47128
u7254,p29,users,0.000595,u7254
u6187,p114,users,0.000595,u6187
u360,p2585,users,0.000595,u360
u3970,p65,users,0.001189,u3970
u3970,p4208,users,0.001189,u3970
u24662,p8,users,0.000595,u24662
u1080,p17,users,0.004756,u1080
u1080,p3561,users,0.004756,u1080
u1080,p665,users,0.004756,u1080
u1080,p8357,users,0.004756,u1080
u1080,p4301,users,0.004756,u1080
u1080,p16038,users,0.004756,u1080
u1080,p12812,users,0.004756,u1080
u1080,p1584,users,0.004756,u1080
u1345,p9110,users,0.001189,u1345
u1345,p1092,users,0.001189,u1345
u1380,p15,users,0.000595,u1380
u13981,p299,users,0.000595,u13981
u387,p4208,users,0.000595,u387
u5709,p299,users,0.000595,u5709
u7807,p103,users,0.000595,u7807
u5068,p558,users,0.000595,u5068
u20595,p607,users,0.000595,u20595
u264,p298,users,0.001189,u264
u264,p2131,users,0.001189,u264
u83,p952,users,0.001189,u83
u83,p299,users,0.001189,u83
u10811,p17,users,0.000595,u10811
p178,u2476,projects,0.004756,p178
p178,u4629,projects,0.004756,p178
p178,u226,projects,0.004756,p178
p178,u6250,projects,0.004756,p178
p178,u48716,projects,0.004756,p178
p178,u1379,projects,0.004756,p178
u2908,p116,users,0.000595,u2908
u5576,p357,users,0.000595,u5576
u2764,p299,users,0.000595,u2764
u10540,p1736,users,0.000595,u10540
u5350,p645,users,0.000595,u5350
u2584,p645,users,0.000595,u2584
u16890,p357,users,0.000595,u16890
u2315,p607,users,0.000595,u2315
u7954,p101,users,0.000595,u7954
u10680,p985,users,0.000595,u10680
u31344,p357,users,0.000595,u31344
u15915,p103,users,0.000595,u15915
u10002,p65,users,0.000595,u10002
u6377,p1085,users,0.000595,u6377
p22862,u8854,projects,0.000595,p22862
u681,p97,users,0.000595,u681
u2075,p15,users,0.001189,u2075
u2075,p299,users,0.001189,u2075
u3007,p689,users,0.000595,u3007
u4395,p607,users,0.000595,u4395
u14401,p5046,users,0.000595,u14401
p952,u844,projects,0.003567,p952
p952,u4711,projects,0.003567,p952
p952,u3745,projects,0.003567,p952
p952,u23082,projects,0.003567,p952
p952,u22016,projects,0.003567,p952
u20357,p3784,users,0.000595,u20357
u21454,p4301,users,0.000595,u21454
u3071,p298,users,0.000595,u3071
u13360,p1085,users,0.000595,u13360
u29122,p29,users,0.000595,u29122
u2875,p1909,users,0.000595,u2875
u7052,p1546,users,0.000595,u7052
u9938,p725,users,0.000595,u9938
u7690,p291,users,0.000595,u7690
u1585,p562,users,0.000595,u1585
u3697,p725,users,0.002378,u3697
u3697,p284,users,0.002378,u3697
u3697,p558,users,0.002378,u3697
u3697,p8,users,0.002378,u3697
u9594,p4208,users,0.000595,u9594
u5242,p1009,users,0.000595,u5242
u4841,p604,users,0.000595,u4841
u5438,p985,users,0.000595,u5438
u31997,p97,users,0.000595,u31997
u1771,p2585,users,0.000595,u1771
p3266,u844,projects,0.001189,p3266
p3266,u646,projects,0.001189,p3266
u4455,p1736,users,0.000595,u4455
p116,u16988,projects,0.005945,p116
p116,u6999,projects,0.005945,p116
p116,u6498,projects,0.005945,p116
p116,u5614,projects,0.005945,p116
p116,u7475,projects,0.005945,p116
p116,u36081,projects,0.005945,p116
p116,u25054,projects,0.005945,p116
p116,u2169,projects,0.005945,p116
u10041,p689,users,0.000595,u10041
u691,p299,users,0.001189,u691
u691,p357,users,0.001189,u691
u16204,p645,users,0.000595,u16204
u367,p357,users,0.000595,u367
u21113,p6894,users,0.000595,u21113
u15750,p562,users,0.000595,u15750
u17919,p8815,users,0.000595,u17919
u11161,p2562,users,0.000595,u11161
u6101,p299,users,0.000595,u6101
u2741,p97,users,0.000595,u2741
u18743,p2562,users,0.000595,u18743
u301,p2646,users,0.001189,u301
u3397,p2545,users,0.000595,u3397
u2037,p1009,users,0.000595,u2037
u625,p114,users,0.000595,u625
u9686,p1085,users,0.001189,u9686
u9686,p286,users,0.001189,u9686
u10266,p299,users,0.000595,u10266
u29821,p1340,users,0.000595,u29821
p1854,u3139,projects,0.001784,p1854
p1854,u7908,projects,0.001784,p1854
p1854,u14467,projects,0.001784,p1854
u7355,p189,users,0.000595,u7355
u7492,p8036,users,0.001784,u7492
u7492,p15,users,0.001784,u7492
u7492,p3784,users,0.001784,u7492
u23965,p1328,users,0.000595,u23965
p236,u2757,projects,0.012485,p236
p236,u2317,projects,0.012485,p236
p236,u198,projects,0.012485,p236
p236,u13567,projects,0.012485,p236
p236,u10755,projects,0.012485,p236
p236,u17474,projects,0.012485,p236
p236,u9425,projects,0.012485,p236
p236,u3540,projects,0.012485,p236
p236,u1998,projects,0.012485,p236
p236,u5534,projects,0.012485,p236
p236,u9765,projects,0.012485,p236
p236,u1278,projects,0.012485,p236
p236,u5970,projects,0.012485,p236
p236,u14055,projects,0.012485,p236
p236,u744,projects,0.012485,p236
p236,u2008,projects,0.012485,p236
p236,u3574,projects,0.012485,p236
p236,u258,projects,0.012485,p236
p236,u82,projects,0.012485,p236
p236,u11236,projects,0.012485,p236
u10512,p2090,users,0.000595,u10512
u7963,p299,users,0.000595,u7963
u4834,p162,users,0.000595,u4834
u45126,p1229,users,0.000595,u45126
u836,p1170,users,0.000595,u836
u26847,p10548,users,0.000595,u26847
u5269,p299,users,0.001189,u5269
u5269,p1328,users,0.001189,u5269
u6268,p689,users,0.000595,u6268
u4613,p2045,users,0.000595,u4613
u2278,p2593,users,0.000595,u2278
u863,p13085,users,0.000595,u863
u13630,p17,users,0.000595,u13630
u25002,p233,users,0.000595,u25002
p1909,u8988,projects,0.006540,p1909
p1909,u1879,projects,0.006540,p1909
p1909,u14739,projects,0.006540,p1909
p1909,u17415,projects,0.006540,p1909
p1909,u3889,projects,0.006540,p1909
p1909,u3589,projects,0.006540,p1909
p1909,u9228,projects,0.006540,p1909
p1909,u3243,projects,0.006540,p1909
p1909,u1632,projects,0.006540,p1909
p1909,u702,projects,0.006540,p1909
u23852,p1085,users,0.000595,u23852
u8674,p2131,users,0.000595,u8674
u40999,p1328,users,0.000595,u40999
u9203,p1085,users,0.000595,u9203
u7380,p2646,users,0.000595,u7380
u5721,p1009,users,0.000595,u5721
p1035,u14084,projects,0.004756,p1035
p1035,u8417,projects,0.004756,p1035
p1035,u1415,projects,0.004756,p1035
p1035,u3946,projects,0.004756,p1035
p1035,u935,projects,0.004756,p1035
p1035,u17708,projects,0.004756,p1035
p1035,u11816,projects,0.004756,p1035
p1035,u2547,projects,0.004756,p1035
u21202,p17,users,0.000595,u21202
u1731,p65,users,0.000595,u1731
u1126,p26828,users,0.001189,u1126
u1126,p2888,users,0.001189,u1126
u29151,p896,users,0.000595,u29151
u8006,p17,users,0.003567,u8006
u8006,p53157,users,0.003567,u8006
u8006,p22140,users,0.003567,u8006
u8006,p1079,users,0.003567,u8006
u8006,p558,users,0.003567,u8006
u8006,p2734,users,0.003567,u8006
u21279,p645,users,0.000595,u21279
u1472,p911,users,0.001189,u1472
u1472,p607,users,0.001189,u1472
u18089,p896,users,0.000595,u18089
u2394,p101,users,0.001189,u2394
u2394,p1514,users,0.001189,u2394
u4228,p1857,users,0.000595,u4228
u18837,p689,users,0.000595,u18837
p13085,u15647,projects,0.001189,p13085
u25417,p725,users,0.000595,u25417
u5771,p604,users,0.000595,u5771
u7049,p1092,users,0.000595,u7049
u7223,p299,users,0.000595,u7223
u6,p645,users,0.000595,u6
u17388,p17,users,0.000595,u17388
u35071,p2804,users,0.000595,u35071
u40886,p17,users,0.000595,u40886
u11868,p17,users,0.000595,u11868
u21480,p8,users,0.000595,u21480
u16788,p17,users,0.000595,u16788
u1631,p15,users,0.001784,u1631
u1631,p350,users,0.001784,u1631
u1631,p6894,users,0.001784,u1631
u3726,p1183,users,0.000595,u3726
u1779,p1229,users,0.001189,u1779
u1779,p286,users,0.001189,u1779
u1411,p101,users,0.001784,u1411
u1411,p17,users,0.001784,u1411
u446,p5436,users,0.001189,u446
u446,p1514,users,0.001189,u446
u703,p15,users,0.000595,u703
u18008,p3542,users,0.000595,u18008
u8717,p845,users,0.000595,u8717
u29626,p645,users,0.000595,u29626
u7348,p1179,users,0.000595,u7348
u12881,p189,users,0.000595,u12881
u6644,p286,users,0.000595,u6644
u7743,p299,users,0.000595,u7743
u9088,p1328,users,0.000595,u9088
u537,p1514,users,0.001189,u537
u537,p1584,users,0.001189,u537
u1455,p65,users,0.001189,u1455
u3578,p97,users,0.001189,u3578
u3578,p233,users,0.001189,u3578
p701,u11011,projects,0.005945,p701
p701,u3293,projects,0.005945,p701
p701,u11956,projects,0.005945,p701
p701,u10373,projects,0.005945,p701
p701,u922,projects,0.005945,p701
p701,u12296,projects,0.005945,p701
p701,u4270,projects,0.005945,p701
p701,u719,projects,0.005945,p701
p701,u4208,projects,0.005945,p701
p701,u2189,projects,0.005945,p701
u4618,p2131,users,0.000595,u4618
u2294,p1183,users,0.000595,u2294
u3565,p1222,users,0.000595,u3565
u24461,p2131,users,0.001189,u24461
u24461,p29,users,0.001189,u24461
u4239,p350,users,0.000595,u4239
u1442,p138,users,0.000595,u1442
p2873,u505,projects,0.000595,p2873
p2282,u7436,projects,0.004162,p2282
p2282,u14934,projects,0.004162,p2282
p2282,u33470,projects,0.004162,p2282
p2282,u198,projects,0.004162,p2282
p2282,u4458,projects,0.004162,p2282
p2282,u5657,projects,0.004162,p2282
p2282,u3153,projects,0.004162,p2282
u5749,p607,users,0.000595,u5749
u8167,p233,users,0.000595,u8167
u9345,p101,users,0.000595,u9345
u1029,p1085,users,0.000595,u1029
u37183,p17,users,0.000595,u37183
u1992,p562,users,0.000595,u1992
u14636,p645,users,0.000595,u14636
p562,u9162,projects,0.011296,p562
p562,u16539,projects,0.011296,p562
p562,u11026,projects,0.011296,p562
p562,u832,projects,0.011296,p562
p562,u8110,projects,0.011296,p562
p562,u10758,projects,0.011296,p562
p562,u10219,projects,0.011296,p562
p562,u10544,projects,0.011296,p562
p562,u322,projects,0.011296,p562
p562,u11279,projects,0.011296,p562
p562,u50665,projects,0.011296,p562
p562,u343,projects,0.011296,p562
p562,u5290,projects,0.011296,p562
p562,u14435,projects,0.011296,p562
p562,u765,projects,0.011296,p562
p562,u14304,projects,0.011296,p562
u17311,p189,users,0.000595,u17311
u27463,p17,users,0.000595,u27463
p20804,u844,projects,0.000595,p20804
u15053,p647,users,0.000595,u15053
u11315,p31733,users,0.000595,u11315
u39174,p17,users,0.000595,u39174
u1123,p299,users,0.000595,u1123
u3439,p725,users,0.000595,u3439
u10769,p1085,users,0.000595,u10769
u16827,p17,users,0.000595,u16827
u18147,p725,users,0.000595,u18147
u4674,p15,users,0.000595,u4674
u14155,p286,users,0.000595,u14155
u20323,p17,users,0.000595,u20323
u1584,p8,users,0.000595,u1584
u5716,p101,users,0.000595,u5716
u48483,p17,users,0.000595,u48483
u8884,p3604,users,0.000595,u8884
p39860,u7442,projects,0.001189,p39860
p39860,u702,projects,0.001189,p39860
u3252,p985,users,0.000595,u3252
u13404,p2545,users,0.001189,u13404
u13404,p17,users,0.001189,u13404
u1336,p604,users,0.000595,u1336
u18734,p2551,users,0.000595,u18734
u11145,p4301,users,0.000595,u11145
u5248,p162,users,0.000595,u5248
p15212,u844,projects,0.000595,p15212
u5742,p15,users,0.001189,u5742
u5742,p17,users,0.001189,u5742
u235,p1050,users,0.000595,u235
u8480,p97,users,0.000595,u8480
u9237,p17,users,0.001189,u9237
u9237,p1092,users,0.001189,u9237
u2230,p558,users,0.000595,u2230
u2253,p1009,users,0.001189,u2253
u2253,p515,users,0.001189,u2253
p103,u781,projects,0.008918,p103
p103,u1573,projects,0.008918,p103
p103,u289,projects,0.008918,p103
p103,u1539,projects,0.008918,p103
p103,u7635,projects,0.008918,p103
p103,u2221,projects,0.008918,p103
p103,u238,projects,0.008918,p103
p103,u9144,projects,0.008918,p103
p103,u2796,projects,0.008918,p103
p103,u12834,projects,0.008918,p103
p103,u1208,projects,0.008918,p103
p103,u1726,projects,0.008918,p103
p103,u4053,projects,0.008918,p103
u16840,p101,users,0.000595,u16840
u16491,p299,users,0.000595,u16491
u829,p647,users,0.000595,u829
u8988,p114,users,0.001189,u8988
u1978,p645,users,0.000595,u1978
u2450,p2646,users,0.000595,u2450
u312,p558,users,0.000595,u312
u17966,p1857,users,0.000595,u17966
u89,p16999,users,0.002378,u89
u89,p162,users,0.002378,u89
u89,p1179,users,0.002378,u89
u89,p29,users,0.002378,u89
u5424,p3604,users,0.000595,u5424
u19679,p162,users,0.000595,u19679
u8588,p1123,users,0.000595,u8588
u627,p5046,users,0.003567,u627
u627,p2562,users,0.003567,u627
u627,p162,users,0.003567,u627
u627,p2150,users,0.003567,u627
u627,p10866,users,0.003567,u627
u627,p233,users,0.003567,u627
u930,p607,users,0.000595,u930
u407,p15,users,0.001784,u407
u407,p1179,users,0.001784,u407
u1436,p1179,users,0.000595,u1436
u24086,p17,users,0.000595,u24086
u4939,p17,users,0.001189,u4939
u4939,p607,users,0.001189,u4939
p8036,u505,projects,0.003567,p8036
p8036,u4912,projects,0.003567,p8036
p8036,u2652,projects,0.003567,p8036
p8036,u351,projects,0.003567,p8036
p8036,u9599,projects,0.003567,p8036
p15,u12699,projects,0.020214,p15
p15,u4390,projects,0.020214,p15
p15,u3293,projects,0.020214,p15
p15,u3267,projects,0.020214,p15
p15,u10104,projects,0.020214,p15
p15,u1788,projects,0.020214,p15
p15,u11888,projects,0.020214,p15
p15,u376,projects,0.020214,p15
p15,u4980,projects,0.020214,p15
p15,u5449,projects,0.020214,p15
p15,u322,projects,0.020214,p15
p15,u15133,projects,0.020214,p15
p15,u3243,projects,0.020214,p15
p15,u3588,projects,0.020214,p15
p15,u7709,projects,0.020214,p15
p15,u744,projects,0.020214,p15
p15,u4019,projects,0.020214,p15
p15,u569,projects,0.020214,p15
p15,u2730,projects,0.020214,p15
p15,u1049,projects,0.020214,p15
p15,u4833,projects,0.020214,p15
p15,u5511,projects,0.020214,p15
p15,u1111,projects,0.020214,p15
p15,u18411,projects,0.020214,p15
u108,p65,users,0.000595,u108
u69,p1183,users,0.001189,u69
u69,p2237,users,0.001189,u69
u6999,p17,users,0.001189,u6999
u23167,p8,users,0.000595,u23167
u1961,p604,users,0.000595,u1961
u19614,p607,users,0.000595,u19614
u2707,p17,users,0.001784,u2707
u2707,p25995,users,0.001784,u2707
u2707,p8,users,0.001784,u2707
p101,u5379,projects,0.019620,p101
p101,u1588,projects,0.019620,p101
p101,u3913,projects,0.019620,p101
p101,u5928,projects,0.019620,p101
p101,u8314,projects,0.019620,p101
p101,u1203,projects,0.019620,p101
p101,u4047,projects,0.019620,p101
p101,u2152,projects,0.019620,p101
p101,u3166,projects,0.019620,p101
p101,u4629,projects,0.019620,p101
p101,u1440,projects,0.019620,p101
p101,u6815,projects,0.019620,p101
p101,u12013,projects,0.019620,p101
p101,u1449,projects,0.019620,p101
p101,u1979,projects,0.019620,p101
p101,u21378,projects,0.019620,p101
p101,u23970,projects,0.019620,p101
p101,u1212,projects,0.019620,p101
p101,u1898,projects,0.019620,p101
p101,u12284,projects,0.019620,p101
p101,u846,projects,0.019620,p101
p101,u8577,projects,0.019620,p101
p101,u19020,projects,0.019620,p101
p101,u1859,projects,0.019620,p101
p101,u1357,projects,0.019620,p101
p101,u1153,projects,0.019620,p101
p101,u31652,projects,0.019620,p101
u3773,p1179,users,0.000595,u3773
u3002,p2734,users,0.000595,u3002
u1692,p350,users,0.000595,u1692
u8417,p189,users,0.001189,u8417
u2153,p1478,users,0.000595,u2153
u4817,p1229,users,0.000595,u4817
u4515,p4208,users,0.000595,u4515
u7493,p65,users,0.000595,u7493
u1322,p97,users,0.000595,u1322
u2284,p3654,users,0.000595,u2284
u44023,p233,users,0.000595,u44023
u10016,p350,users,0.000595,u10016
u19769,p299,users,0.000595,u19769
u7911,p607,users,0.001189,u7911
u7911,p647,users,0.001189,u7911
u16819,p17,users,0.000595,u16819
u4131,p17,users,0.000595,u4131
p725,u19564,projects,0.020214,p725
p725,u20586,projects,0.020214,p725
p725,u17601,projects,0.020214,p725
p725,u844,projects,0.020214,p725
p725,u10819,projects,0.020214,p725
p725,u406,projects,0.020214,p725
p725,u10824,projects,0.020214,p725
p725,u9908,projects,0.020214,p725
p725,u15580,projects,0.020214,p725
p725,u24587,projects,0.020214,p725
p725,u5366,projects,0.020214,p725
p725,u21102,projects,0.020214,p725
p725,u6684,projects,0.020214,p725
p725,u2870,projects,0.020214,p725
p725,u4706,projects,0.020214,p725
p725,u12790,projects,0.020214,p725
p725,u8093,projects,0.020214,p725
p725,u1975,projects,0.020214,p725
p725,u3453,projects,0.020214,p725
p725,u3939,projects,0.020214,p725
p725,u9298,projects,0.020214,p725
p725,u10349,projects,0.020214,p725
p725,u544,projects,0.020214,p725
p725,u11896,projects,0.020214,p725
p725,u13574,projects,0.020214,p725
p725,u5458,projects,0.020214,p725
p725,u16562,projects,0.020214,p725
p725,u25383,projects,0.020214,p725
p725,u14181,projects,0.020214,p725
u3520,p645,users,0.000595,u3520
u1772,p17,users,0.000595,u1772
u1758,p878,users,0.000595,u1758
u347,p1179,users,0.001189,u347
u347,p3678,users,0.001189,u347
u18279,p6503,users,0.000595,u18279
u1538,p1514,users,0.000595,u1538
u6158,p299,users,0.000595,u6158
u2665,p8357,users,0.000595,u2665
u3426,p357,users,0.001189,u3426
u3426,p7091,users,0.001189,u3426
u4957,p6816,users,0.000595,u4957
p5368,u505,projects,0.001189,p5368
p5368,u4675,projects,0.001189,p5368
u1189,p8,users,0.000595,u1189
u6650,p665,users,0.000595,u6650
p7171,u608,projects,0.001189,p7171
p7171,u21,projects,0.001189,p7171
u6607,p299,users,0.000595,u6607
u9240,p223,users,0.000595,u9240
u4068,p607,users,0.000595,u4068
u11712,p2090,users,0.000595,u11712
u13182,p189,users,0.000595,u13182
u20586,p1085,users,0.001189,u20586
u204,p299,users,0.000595,u204
u7398,p350,users,0.001189,u7398
u7398,p223,users,0.001189,u7398
p93877,u1149,projects,0.000595,p93877
u8987,p1085,users,0.000595,u8987
u8683,p65,users,0.000595,u8683
u9273,p1179,users,0.000595,u9273
u31592,p2562,users,0.000595,u31592
u15139,p607,users,0.000595,u15139
u25639,p607,users,0.000595,u25639
p11556,u1406,projects,0.001189,p11556
p11556,u5845,projects,0.001189,p11556
u13898,p645,users,0.000595,u13898
p3542,u1012,projects,0.005351,p3542
p3542,u23221,projects,0.005351,p3542
p3542,u5918,projects,0.005351,p3542
p3542,u7229,projects,0.005351,p3542
p3542,u6977,projects,0.005351,p3542
p3542,u15692,projects,0.005351,p3542
p3542,u10884,projects,0.005351,p3542
u775,p29,users,0.000595,u775
u1672,p223,users,0.001784,u1672
u1672,p1123,users,0.001784,u1672
u1672,p29,users,0.001784,u1672
u12416,p17,users,0.000595,u12416
u46923,p357,users,0.000595,u46923
u206,p233,users,0.000595,u206
u7571,p2646,users,0.000595,u7571
u3511,p17,users,0.002378,u3511
u3511,p2514,users,0.002378,u3511
u3511,p138,users,0.002378,u3511
u3511,p4208,users,0.002378,u3511
p31733,u2137,projects,0.001189,p31733
u9903,p162,users,0.000595,u9903
u4203,p16038,users,0.000595,u4203
u14907,p1092,users,0.000595,u14907
u1588,p607,users,0.001189,u1588
u7347,p2237,users,0.001189,u7347
u7347,p29,users,0.001189,u7347
u24983,p17,users,0.000595,u24983
u1501,p8357,users,0.000595,u1501
u8948,p8,users,0.000595,u8948
u22121,p645,users,0.000595,u22121
u2760,p138,users,0.000595,u2760
u695,p558,users,0.000595,u695
u2810,p607,users,0.000595,u2810
u28,p558,users,0.000595,u28
u1121,p1092,users,0.000595,u1121
u1364,p2090,users,0.000595,u1364
u2040,p1009,users,0.001189,u2040
u2040,p29,users,0.001189,u2040
u11116,p298,users,0.000595,u11116
u34685,p2804,users,0.000595,u34685
u2204,p291,users,0.001189,u2204
u2204,p114,users,0.001189,u2204
u489,p2734,users,0.001189,u489
u20430,p607,users,0.000595,u20430
p911,u844,projects,0.003567,p911
p911,u1552,projects,0.003567,p911
p911,u2222,projects,0.003567,p911
p911,u7677,projects,0.003567,p911
p911,u2863,projects,0.003567,p911
u3293,p17,users,0.005351,u3293
u3293,p1170,users,0.005351,u3293
u3293,p13168,users,0.005351,u3293
u3293,p31653,users,0.005351,u3293
u3293,p23219,users,0.005351,u3293
u3293,p7760,users,0.005351,u3293
u5134,p743,users,0.000595,u5134
u635,p3251,users,0.000595,u635
u12805,p2090,users,0.000595,u12805
u13515,p291,users,0.000595,u13515
u245,p1514,users,0.000595,u245
u2223,p223,users,0.000595,u2223
u8529,p645,users,0.001784,u8529
u8529,p350,users,0.001784,u8529
u8529,p357,users,0.001784,u8529
u8704,p17,users,0.001189,u8704
u8704,p39012,users,0.001189,u8704
u3267,p645,users,0.001189,u3267
u5571,p2965,users,0.000595,u5571
u11159,p350,users,0.000595,u11159
p120001,u5078,projects,0.000595,p120001
p19660,u3731,projects,0.000595,p19660
u11212,p645,users,0.000595,u11212
p3315,u844,projects,0.001189,p3315
p3315,u2406,projects,0.001189,p3315
u4448,p17,users,0.001189,u4448
u4448,p2280,users,0.001189,u4448
u289,p350,users,0.001189,u289
u17532,p1229,users,0.000595,u17532
p2545,u39152,projects,0.003567,p2545
p2545,u892,projects,0.003567,p2545
p2545,u198,projects,0.003567,p2545
p2545,u20520,projects,0.003567,p2545
u12532,p1170,users,0.000595,u12532
p645,u5959,projects,0.044590,p645
p645,u308,projects,0.044590,p645
p645,u4154,projects,0.044590,p645
p645,u4918,projects,0.044590,p645
p645,u24967,projects,0.044590,p645
p645,u13305,projects,0.044590,p645
p645,u5286,projects,0.044590,p645
p645,u18362,projects,0.044590,p645
p645,u958,projects,0.044590,p645
p645,u22271,projects,0.044590,p645
p645,u21495,projects,0.044590,p645
p645,u7798,projects,0.044590,p645
p645,u2275,projects,0.044590,p645
p645,u6870,projects,0.044590,p645
p645,u16097,projects,0.044590,p645
p645,u872,projects,0.044590,p645
p645,u7634,projects,0.044590,p645
p645,u7405,projects,0.044590,p645
p645,u2616,projects,0.044590,p645
p645,u3280,projects,0.044590,p645
p645,u1069,projects,0.044590,p645
p645,u746,projects,0.044590,p645
p645,u724,projects,0.044590,p645
p645,u30076,projects,0.044590,p645
p645,u3306,projects,0.044590,p645
p645,u975,projects,0.044590,p645
p645,u1483,projects,0.044590,p645
p645,u4439,projects,0.044590,p645
p645,u393,projects,0.044590,p645
p645,u19254,projects,0.044590,p645
p645,u3332,projects,0.044590,p645
p645,u3107,projects,0.044590,p645
p645,u8769,projects,0.044590,p645
p645,u8387,projects,0.044590,p645
p645,u1975,projects,0.044590,p645
p645,u226,projects,0.044590,p645
p645,u6350,projects,0.044590,p645
p645,u7483,projects,0.044590,p645
p645,u9343,projects,0.044590,p645
p645,u48,projects,0.044590,p645
p645,u8187,projects,0.044590,p645
p645,u569,projects,0.044590,p645
p645,u20050,projects,0.044590,p645
p645,u159,projects,0.044590,p645
p645,u666,projects,0.044590,p645
p645,u1407,projects,0.044590,p645
p645,u84,projects,0.044590,p645
p645,u2320,projects,0.044590,p645
p645,u19369,projects,0.044590,p645
p645,u2212,projects,0.044590,p645
p645,u608,projects,0.044590,p645
p645,u3248,projects,0.044590,p645
p645,u14465,projects,0.044590,p645
p645,u8520,projects,0.044590,p645
p645,u30986,projects,0.044590,p645
p645,u10214,projects,0.044590,p645
p645,u20163,projects,0.044590,p645
p645,u23683,projects,0.044590,p645
u15041,p1183,users,0.000595,u15041
u654,p350,users,0.000595,u654
